citekey,entry_type,title,year,doi,source_bibliographies,bibliographic_status,reading_status,pdf_status,note_path,pdf_path
li2022deeph,article,Deep-Learning Density Functional Theory Hamiltonian for Efficient Ab Initio Electronic-Structure Calculation,2022,10.1038/s43588-022-00265-6,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/li2022deeph.md,
yuan2024deephr,misc,Deep Learning Density Functional Theory Hamiltonian in Real Space,2024,10.48550/arXiv.2407.14379,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/yuan2024deephr.md,
yuan2026deephr,article,Deep-Learning Density Functional Theory Hamiltonian in Real Space,2026,10.1103/mbhs-vlby,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/yuan2026deephr.md,
fried2025pointDefects,article,A Machine Learning Approach to Predict Tight-Binding Parameters for Point Defects via the Projected Density of States,2025,10.1038/s41524-025-01634-1,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/fried2025pointDefects.md,
schattauer2022defects,article,Machine Learning Sparse Tight-Binding Parameters for Defects,2022,10.1038/s41524-022-00791-x,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/schattauer2022defects.md,
zhang2024selfConsistency,inproceedings,Self-Consistency Training for Density-Functional-Theory Hamiltonian Prediction,2024,,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/zhang2024selfConsistency.md,
groen2021vecmatk,article,"VECMAtk: A Scalable Verification, Validation and Uncertainty Quantification Toolkit for Scientific Simulations",2021,10.1098/rsta.2020.0221,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/groen2021vecmatk.md,
coveney2021reliability,article,"Reliability and Reproducibility in Computational Science: Implementing Validation, Verification and Uncertainty Quantification In Silico",2021,10.1098/rsta.2020.0409,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/coveney2021reliability.md,
ye2021uqPatterns,article,Uncertainty Quantification Patterns for Multiscale Models,2021,10.1098/rsta.2020.0072,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/ye2021uqPatterns.md,
bect2021discretization,inproceedings,On the Quantification of Discretization Uncertainty: Comparison of Two Paradigms,2021,10.23967/wccm-eccomas.2020.260,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/bect2021discretization.md,
rubel2021effectiveMass,article,Perturbation Approach to Ab Initio Effective Mass Calculations,2021,10.1016/j.cpc.2020.107648,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/rubel2021effectiveMass.md,
martin2020,book,Electronic Structure: Basic Theory and Practical Methods,2020,10.1017/9781108555586,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,located-local-copy,20_references/ksdft2effmass/martin2020.md,assets/references/ksdft2effmass/martin2020.pdf
yates2007,article,Spectral and Fermi Surface Properties from Wannier Interpolation,2007,10.1103/PhysRevB.75.195121,docs/publications/papers/ksdft2effmass.P01/latex/references.bib;docs/publications/papers/ksdft2effmass.P91/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/yates2007.md,
